schema_name,table_name,ordinal_position,column_name,data_type,character_maximum_length,numeric_precision,numeric_scale,is_nullable,distkey,sortkey,encoding
bis_raw,t_card_printing_status_raw,1,card_no,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,2,entity_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,3,batch_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,4,user_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,5,state_cd,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,6,district_cd,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,7,subdistrict_town,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,8,village_ward,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,9,urban_or_rural,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,10,card_name,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,11,card_fathername,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,12,card_relation,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,13,card_yob,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,14,card_gender,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,15,card_address,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,16,abha_no,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,17,card_photo,character varying,256,,,YES,,,
bis_raw,t_card_printing_status_raw,18,card_print_status,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,19,enroll_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,20,approve_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,21,card_gen_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,22,card_print_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,23,card_distribute_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,24,card_deliver_date,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,25,ben_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,26,aadhar_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,27,family_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,28,age,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,29,source_type,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,30,created_by,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,31,created_dt,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,32,updated_by,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,33,updated_dt,timestamp without time zone,,,,YES,,,
bis_raw,t_card_printing_status_raw,34,mobile_number,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,35,operator_id,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,36,operator_name,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,37,operator_contact,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,38,state_name,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,39,district_name,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,40,sub_district_name,character varying,65535,,,YES,,,
bis_raw,t_card_printing_status_raw,41,village_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,1,registration_id,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,2,case_id,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,3,member_id,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,4,family_id,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,5,patient_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,6,patient_dob,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,7,patient_state_code,smallint,,16,0,YES,,,
dmart_mh,claim_paid_t,8,patient_district_code,smallint,,16,0,YES,,,
dmart_mh,claim_paid_t,9,patient_district_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,10,patient_state_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,11,gender,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,12,age,numeric,,18,0,YES,,,
dmart_mh,claim_paid_t,13,policy_code,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,14,renewal_code,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,15,category_details,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,16,speciality_code,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,17,procedure_details,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,18,procedure_code,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,19,case_type,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,20,status_id_pk,integer,,32,0,YES,,,
dmart_mh,claim_paid_t,21,case_status,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,22,hospital_code,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,23,hospital_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,24,hosp_district_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,25,hosp_state_name,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,26,hospital_state_cd,smallint,,16,0,YES,,,
dmart_mh,claim_paid_t,27,hospital_district_cd,smallint,,16,0,YES,,,
dmart_mh,claim_paid_t,28,hosp_pan_number,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,29,hospital_type,character varying,65535,,,YES,,,
dmart_mh,claim_paid_t,30,admission_dt,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,31,preauth_init_date,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,32,amount_preauth_initiated,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,33,preauth_approved_date,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,34,amount_preauth_approved,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,35,preauth_rejected_date,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,36,surgery_dt,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,37,death_dt,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,38,discharge_dt,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,39,claim_init_date,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,40,amount_claim_initiated,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,41,amount_claim_approved,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,42,amount_claim_paid,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,43,claim_rejected_date,timestamp without time zone,,,,YES,,,
dmart_mh,claim_paid_t,44,rf_amount,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,45,tds_amount,numeric,,15,2,YES,,,
dmart_mh,claim_paid_t,46,utr_no,character varying,50,,,YES,,,
dmart_mh,claim_paid_t,47,payment_paid_dt,timestamp without time zone,,,,YES,,,
